appearance,mins_played,assist,ball_recovery,clearance_total,dribble_won,duel_aerial_won,foul_committed,foul_given,interception_all,pass_key,tackle_won,goals,class,name
17,576,0,44,10,6,9,12,12,2,8,12,0,unknown,Rodrigo Bentancur
24,1882,2,77,15,9,20,12,7,19,16,8,8,unknown,Sami Khedira
18,1593,1,94,16,21,9,13,28,17,12,20,0,unknown,Kwadwo Asamoah
27,1680,10,87,4,94,6,18,18,10,48,13,3,unknown,Douglas Costa
16,1549,0,109,5,1,2,0,1,1,1,0,0,unknown,Wojciech Szczesny
21,1189,1,68,40,2,18,4,8,11,4,13,0,unknown,Andrea Barzagli
11,607,0,29,12,2,10,7,9,4,5,10,0,unknown,Stefano Sturaro
19,1859,0,175,14,1,4,2,2,0,0,1,0,unknown,Simon Mignolet
14,1279,0,61,37,7,12,8,16,12,12,32,0,unknown,Alberto Moreno
16,1439,1,107,41,15,5,12,0,26,22,25,1,unknown,Trent Alexander-Arnold
27,2123,1,96,134,0,95,15,4,39,5,18,1,unknown,Dejan Lovren
24,2171,0,126,91,3,56,19,11,41,6,27,1,unknown,Joel Matip
26,2265,4,190,33,23,42,28,27,36,25,56,3,unknown,Emre Can
30,2300,2,146,16,40,13,11,16,25,20,15,1,unknown,Georginio Wijnaldum
24,2113,1,185,20,7,24,26,12,26,24,33,1,unknown,Jordan Henderson
34,2676,7,125,8,47,36,55,14,14,52,49,15,unknown,Roberto Firmino
27,2156,7,103,7,49,25,22,45,11,43,21,10,unknown,Sadio Man�
33,2828,9,113,4,73,11,14,26,7,57,7,31,unknown,Mohamed Salah
16,1551,0,136,15,0,4,2,2,2,0,0,0,unknown,Loris Karius
19,554,1,16,6,6,16,13,3,1,12,5,0,unknown,Dominic Solanke
22,1962,2,136,39,19,29,14,10,33,15,37,0,unknown,Joseph Gomez
30,1822,3,111,22,8,19,27,21,21,31,46,0,unknown,James Milner
3,25,0,2,0,0,0,0,0,0,1,1,0,unknown,Marko Grujic
18,1478,0,83,71,4,35,7,11,17,3,11,1,unknown,Ragnar Klavan
20,1913,4,129,45,8,15,14,3,24,21,17,0,unknown,Andrew Robertson
9,467,1,9,1,9,2,1,9,0,13,1,2,unknown,Daniel Sturridge
32,1626,7,90,5,39,10,15,9,21,33,19,3,unknown,Alex Oxlade Chamberlain
14,1180,6,59,2,39,1,5,21,8,39,13,7,unknown,Philippe Coutinho
24,2300,0,178,12,0,4,1,2,2,0,1,0,unknown,Keylor Navas
22,2057,1,171,66,8,71,29,16,39,12,28,3,unknown,Sergio Ramos
25,2110,5,139,13,26,9,24,35,28,50,34,2,unknown,Marcelo
24,1941,0,107,39,6,35,28,26,41,4,30,3,unknown,Nacho
23,2182,2,145,29,31,19,43,29,40,35,40,0,unknown,Daniel Carvajal
23,1835,5,128,6,47,7,17,27,26,32,22,1,unknown,Luka Modric
23,2083,6,129,8,22,10,18,33,15,56,32,4,unknown,Toni Kroos
24,2190,3,200,35,7,50,46,63,48,22,62,5,unknown,Casemiro
27,1665,5,78,1,47,5,17,51,12,42,13,6,unknown,Isco
26,1827,8,33,17,29,8,15,9,4,35,5,5,unknown,Karim Benzema
22,1548,2,30,13,28,25,16,13,11,37,9,11,unknown,Gareth Bale
11,487,0,39,6,3,6,4,4,5,3,7,0,unknown,Marcos Llorente
10,745,0,48,11,16,5,8,8,11,7,12,0,unknown,Theo Hern�ndez
8,768,0,58,7,0,0,0,0,2,0,0,0,unknown,Kiko Casilla
24,2184,1,128,101,8,43,18,11,31,6,19,0,unknown,Raphael Varane
28,1543,7,74,7,31,5,30,40,7,47,32,4,unknown,Lucas V�zquez
27,1697,4,67,2,24,2,8,26,8,46,18,6,unknown,Marco Asensio
9,237,0,17,1,6,0,5,6,2,3,9,2,unknown,Dani Ceballos
10,222,0,7,0,4,2,2,2,0,1,0,1,unknown,Borja Mayoral
16,775,1,55,5,29,0,10,14,5,7,21,0,unknown,Mateo Kovacic
4,382,0,23,11,4,4,2,2,11,0,5,0,unknown,Jes�s Vallejo
7,609,0,42,10,12,7,7,5,8,3,12,1,unknown,Achraf Hakimi
0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,Franchu
25,2314,5,45,14,31,31,19,18,6,41,4,24,unknown,Cristiano Ronaldo
34,3275,0,274,29,1,8,0,5,0,1,1,0,unknown,Ederson
16,1419,1,87,70,3,41,18,1,17,3,13,1,unknown,Vincent Kompany
32,3037,0,176,119,5,84,24,21,48,10,39,4,unknown,Nicol�s Otamendi
16,1234,0,60,30,3,22,5,2,16,0,11,0,unknown,John Stones
20,1262,2,56,21,6,12,11,9,12,5,18,2,unknown,Danilo
28,2528,11,131,5,38,16,19,36,16,60,19,9,unknown,David Silva
30,2745,3,177,57,18,82,37,25,40,17,32,3,unknown,Fernandinho
30,2863,6,165,65,24,70,15,19,27,24,30,0,unknown,Kyle Walker
34,3061,15,195,10,60,13,29,31,26,103,39,8,unknown,Kevin De Bruyne
25,1501,3,46,5,21,17,26,16,5,15,13,11,unknown,Gabriel Jesus
25,2128,6,59,3,55,13,10,17,5,39,6,21,unknown,Sergio Ag�ero
30,2505,8,106,7,54,8,35,56,8,50,13,18,unknown,Raheem Sterling
32,1489,3,68,10,29,6,9,26,7,26,19,5,unknown,Bernardo Silva
28,2230,12,107,5,73,14,21,23,14,48,15,9,unknown,Leroy San�
8,158,2,4,4,0,0,2,0,4,4,2,0,unknown,Yaya Tour�
4,49,1,0,1,3,0,1,3,1,2,0,0,unknown,Phil Foden
1,56,0,3,0,0,0,0,0,0,0,0,0,unknown,Claudio Bravo
9,546,0,34,20,2,12,2,0,6,1,2,0,unknown,Eliaquim Mangala
5,350,1,21,8,3,6,5,1,6,7,5,0,unknown,Benjamin Mendy
19,1663,2,135,29,31,17,15,17,31,10,30,1,unknown,Fabian Delph
26,1378,1,104,8,25,4,12,16,14,18,12,4,unknown,Ilkay G�ndogan
7,490,0,28,6,3,10,6,1,4,6,15,0,unknown,Oleksandr Zinchenko
3,44,0,7,0,1,0,0,2,2,0,0,0,unknown,Brahim Diaz
6,574,0,57,15,1,12,7,4,11,1,4,0,unknown,Aymeric Laporte
33,3222,0,258,15,1,2,0,4,0,1,0,0,unknown,David De Gea
5,298,0,15,11,1,7,4,4,6,3,3,0,unknown,Daley Blind
21,1934,0,125,121,7,52,10,21,34,1,14,0,unknown,Phil Jones
29,2769,1,178,60,32,21,36,20,44,21,32,3,unknown,Antonio Valencia
11,986,0,55,55,3,16,10,9,18,2,8,1,unknown,Eric Bailly
33,3163,1,295,57,45,54,33,22,62,20,42,1,unknown,Nemanja Matic
22,1939,9,138,23,63,41,38,45,21,35,21,5,unknown,Paul Pogba
30,1618,5,43,11,41,14,19,14,8,20,11,6,unknown,Marcus Rashford
26,1863,4,98,5,15,3,12,17,14,44,14,3,unknown,Juan Mata
15,979,5,58,1,16,7,10,12,9,29,11,1,unknown,Henrikh Mkhitaryan
32,3022,7,55,18,36,101,31,16,2,31,4,16,unknown,Romelu Lukaku
22,1132,2,85,14,8,6,22,24,30,10,25,0,unknown,Ander Herrera
29,1724,4,79,9,23,4,31,31,9,24,21,8,unknown,Jesse Lingard
27,1491,5,69,5,32,11,15,27,3,28,14,9,unknown,Anthony Martial
5,216,0,6,11,0,2,2,0,2,0,4,0,unknown,Matteo Darmian
13,492,0,35,12,2,28,10,11,11,4,7,3,unknown,Marouane Fellaini
0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,Sergio Romero
25,2365,0,118,149,4,91,20,12,50,2,22,4,unknown,Chris Smalling
15,1208,0,80,59,2,18,9,9,13,2,11,0,unknown,Victor Lindel�f
1,29,0,3,0,0,0,1,1,0,1,0,0,unknown,Michael Carrick
26,2392,3,150,66,26,19,25,32,52,23,30,2,unknown,Ashley Young
10,495,0,29,6,2,6,4,10,14,1,4,0,unknown,Scott McTominay
7,522,0,29,39,4,12,6,4,6,2,2,0,unknown,Marcos Rojo
7,602,0,24,15,3,12,3,7,3,6,8,0,unknown,Luke Shaw
31,2962,0,243,14,0,9,0,2,0,0,0,0,unknown,Alphonse Areola
17,1518,0,82,29,14,29,31,10,28,10,25,2,unknown,Layvin Kurzawa
23,2131,2,120,97,2,36,7,6,17,3,14,0,unknown,Marquinhos
23,2005,7,153,14,21,14,33,31,20,43,51,2,unknown,Dani Alves
23,2046,0,133,93,0,43,21,12,13,4,22,1,unknown,Thiago Silva
21,1727,3,113,9,29,7,30,50,23,26,33,0,unknown,Marco Verratti
29,2332,5,174,18,36,28,32,20,30,24,39,1,unknown,Adrien Rabiot
14,875,0,46,17,3,14,21,9,15,9,13,1,unknown,Thiago Motta
21,1173,4,54,10,20,1,10,9,10,23,17,4,unknown,Javier Pastore
29,2471,6,41,18,15,7,17,18,2,34,9,25,unknown,Edinson Cavani
26,1892,7,55,4,35,0,7,12,7,44,8,11,unknown,�ngel Di Mar�a
23,2084,0,136,58,14,26,29,37,21,2,25,0,unknown,Presnel Kimpembe
1,9,0,0,0,1,0,0,0,0,0,0,0,unknown,Gon�alo Guedes
29,1591,3,135,7,33,5,20,35,16,18,57,4,unknown,Giovani Lo Celso
15,399,0,22,2,7,3,9,2,3,4,1,3,unknown,Christopher Nkunku
20,1632,4,80,27,11,35,15,26,24,15,26,2,unknown,Yuri
2,188,0,17,1,0,1,0,0,0,0,0,0,unknown,Kevin Trapp
20,1894,13,77,0,140,4,22,103,3,71,13,20,unknown,Neymar
20,1359,3,70,35,14,18,21,4,14,14,19,4,unknown,Thomas Meunier
27,1644,4,102,7,39,9,12,10,24,23,13,4,unknown,Julian Draxler
23,1922,8,59,1,67,7,10,30,0,46,8,13,unknown,Kylian Mbapp�
5,87,1,1,0,4,1,5,2,0,1,1,1,unknown,Lucas Moura
17,1653,0,133,13,0,3,0,2,0,0,0,0,unknown,Iker Casillas
28,2709,0,140,133,8,118,40,20,72,4,30,3,unknown,Felipe
27,2590,11,126,63,21,40,28,17,54,84,40,3,unknown,Alex Telles
25,2319,4,129,37,44,24,41,22,40,31,65,2,unknown,Ricardo Pereira
26,2530,1,112,118,3,101,25,20,47,8,24,4,unknown,Iv�n Marcano
16,876,3,74,9,8,2,8,16,6,15,23,0,unknown,�liver Torres
19,1712,0,135,26,12,48,22,26,34,8,28,1,unknown,Danilo Pereira
29,2628,6,178,1,148,7,15,84,20,44,23,8,unknown,Yacine Brahimi
24,1387,3,107,13,47,13,35,38,26,20,23,3,unknown,Jes�s Manuel Corona
27,2148,3,66,13,22,51,25,23,7,24,6,15,unknown,Vincent Aboubakar
20,946,4,24,5,12,30,22,26,5,15,3,8,unknown,Tiquinho Soares
13,735,1,44,0,17,6,22,16,5,9,16,2,unknown,Ot�vio
26,2228,4,181,22,29,53,63,35,40,37,48,3,unknown,H�ctor Herrera
15,1465,0,78,12,0,5,0,3,0,1,0,0,unknown,Jos� S�
26,2295,4,85,23,35,28,38,45,9,22,11,20,unknown,Moussa Marega
10,273,1,17,2,3,2,6,2,3,6,0,0,unknown,Hern�ni
14,982,2,40,18,3,10,28,11,16,12,18,0,unknown,Maxi Pereira
11,816,1,42,24,3,26,10,0,19,2,13,2,unknown,Diego Reyes
7,340,0,13,6,0,3,6,3,5,3,1,0,unknown,Miguel Lay�n
11,355,1,23,2,3,3,14,9,2,7,2,0,unknown,Andr� Andr�
16,1225,2,83,8,20,18,42,21,25,25,33,4,unknown,S�rgio Oliveira
2,31,0,2,0,2,0,0,1,1,0,1,0,unknown,Galeno
1,9,0,1,0,0,1,1,0,0,0,0,0,unknown,Andr� Pereira
3,139,0,7,2,3,0,2,2,1,3,2,0,unknown,Paulinho
34,3288,0,347,34,6,6,1,2,2,1,1,0,unknown,Alisson
27,2374,0,156,124,3,70,25,14,46,5,18,2,unknown,Kostas Manolas
20,1633,0,124,43,4,18,18,9,38,3,32,0,unknown,Juan Jesus
16,1087,0,81,16,16,6,15,9,20,14,15,0,unknown,Bruno Peres
31,2902,7,191,63,54,50,23,37,53,74,41,2,unknown,Aleksandar Kolarov
30,2310,0,145,18,10,28,46,23,26,28,39,1,unknown,Kevin Strootman
19,1667,1,117,32,7,21,24,21,32,12,13,1,unknown,Daniele De Rossi
28,2519,7,177,19,46,20,27,51,21,55,29,4,unknown,Radja Nainggolan
24,1646,4,83,9,59,8,10,31,12,35,17,5,unknown,Diego Perotti
15,536,0,20,4,6,4,5,6,3,5,3,1,unknown,Gregoire Defrel
32,2857,3,71,29,34,94,35,26,4,46,12,14,unknown,Edin Dzeko
5,250,0,12,5,0,0,1,5,3,0,2,0,unknown,H�ctor Moreno
30,2075,4,83,8,30,14,13,24,23,34,12,6,unknown,Stephan El Shaarawy
12,958,1,69,11,9,43,15,14,16,12,13,0,unknown,Maxime Gonalons
25,1661,4,107,12,15,24,25,26,37,39,21,3,unknown,Lorenzo Pellegrini
21,881,1,42,6,4,16,19,22,9,10,6,2,unknown,Gerson
30,2759,0,192,139,14,127,23,14,42,2,35,2,unknown,Federico Fazio
1,3,0,0,0,0,0,0,0,0,0,0,0,unknown,Marco Tumminello
24,1171,1,47,9,23,4,2,16,9,20,8,6,unknown,Cengiz �nder
2,39,1,0,0,0,0,0,1,1,2,0,0,unknown,Mirko Antonucci
29,2351,5,159,46,20,14,15,12,42,41,27,1,unknown,Alessandro Florenzi
0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,Stefano Ciavattini
10,872,0,81,17,0,4,0,1,2,0,0,0,unknown,David Soria
30,2725,1,145,126,12,59,47,18,31,3,48,3,unknown,Cl�ment Lenglet
12,872,1,32,17,5,11,20,22,20,5,14,0,unknown,S�bastien Corchia
19,1583,0,70,100,1,41,17,9,31,2,23,1,unknown,Simon Kjaer
30,2210,5,111,17,21,12,37,38,26,44,15,6,unknown,Pablo Sarabia
26,1405,5,71,11,20,7,12,23,4,24,26,4,unknown,Nolito
23,2028,1,164,30,12,87,25,11,23,12,20,1,unknown,Steven N�Zonzi
25,1800,0,100,25,13,12,16,24,22,27,24,1,unknown,Jes�s Navas
